============================================================
log10(x) x                          f(x)=(x^3)/6/(sinh(x)-x)
-8.80000 1.5848931924611134852e-9 0.99999999999999999987 
-8.79000 1.62181009735892997285e-9 0.99999999999999999987 
-8.78000 1.65958690743756063431e-9 0.99999999999999999986 
-8.77000 1.69824365246174435463e-9 0.99999999999999999986 
-8.76000 1.737800828749375467e-9 0.99999999999999999985 
-8.75000 1.77827941003892280123e-9 0.99999999999999999984 
-8.74000 1.8197008586099834401e-9 0.99999999999999999983 
-8.73000 1.86208713666286744867e-9 0.99999999999999999983 
-8.72000 1.90546071796324718269e-9 0.99999999999999999982 
-8.71000 1.94984459975804532357e-9 0.99999999999999999981 
-8.70000 1.99526231496887960135e-9 0.9999999999999999998 
-8.69000 2.04173794466952933144e-9 0.99999999999999999979 
-8.68000 2.08929613085403948312e-9 0.99999999999999999978 
-8.67000 2.13796208950223209752e-9 0.99999999999999999977 
-8.66000 2.18776162394955256223e-9 0.99999999999999999976 
-8.65000 2.23872113856833961195e-9 0.99999999999999999975 
-8.64000 2.29086765276777304572e-9 0.99999999999999999974 
-8.63000 2.34422881531992211815e-9 0.99999999999999999973 
-8.62000 2.39883291901949046532e-9 0.99999999999999999971 
-8.61000 2.45470891568503035608e-9 0.9999999999999999997 
-8.60000 2.51188643150958011109e-9 0.99999999999999999968 
-8.59000 2.5703957827688638007e-9 0.99999999999999999967 
-8.58000 2.63026799189538191729e-9 0.99999999999999999965 
-8.57000 2.6915348039269157174e-9 0.99999999999999999964 
-8.56000 2.75422870333816644863e-9 0.99999999999999999962 
-8.55000 2.8183829312644538191e-9 0.9999999999999999996 
-8.54000 2.88403150312660594239e-9 0.99999999999999999958 
-8.53000 2.95120922666638570793e-9 0.99999999999999999956 
-8.52000 3.01995172040201619863e-9 0.99999999999999999954 
